[-1.78885, -0.894427]
[1.99848, -0.0779946]
[1.99981, -0.0277481]
[1.99987, 0.0225161]
[1.99868, 0.072766]
[1.99622, 0.12297]
[1.9925, 0.173096]
[1.98752, 0.223113]
[1.98128, 0.272989]
[1.9738, 0.322693]
[1.96506, 0.372192]
[1.95509, 0.421457]
[1.94388, 0.470456]
[1.93144, 0.519157]
[1.91779, 0.56753]
[1.90292, 0.615545]
[1.88685, 0.663171]
[1.86959, 0.710379]
[1.85115, 0.757137]
[1.83153, 0.803418]
[1.81077, 0.849191]
[3.57771, 1.78885]
[3.53107, 1.8779]
[3.48111, 1.96511]
[3.42793, 2.05036]
[3.3716, 2.1335]
[3.31224, 2.21442]
[3.24994, 2.29301]
[3.18481, 2.36914]
[3.11699, 2.44272]
[3.04658, 2.51365]
[2.97373, 2.58184]
[2.89855, 2.64721]
[2.8212, 2.70969]
[2.7418, 2.76922]
[2.6605, 2.82573]
[2.57745, 2.87918]
[2.49279, 2.92954]
[2.40666, 2.97677]
[2.31922, 3.02084]
[2.23061, 3.06174]
[2.14097, 3.09947]
[2.05045, 3.13402]
[1.95918, 3.1654]
[1.86732, 3.19362]
[1.77498, 3.2187]
[1.68232, 3.24068]
[1.58945, 3.25958]
[1.4965, 3.27544]
[1.40359, 3.2883]
[1.31085, 3.29821]
[1.21837, 3.30522]
[1.12628, 3.30939]
[1.03468, 3.31078]
[0.943654, 3.30945]
[0.853308, 3.30546]
[0.763727, 3.29888]
[0.674995, 3.28979]
[0.58719, 3.27825]
[0.500386, 3.26434]
[0.414652, 3.24814]
[0.330052, 3.2297]
[0.246644, 3.20913]
[0.164484, 3.18648]
[0.0836209, 3.16183]
[0.00410125, 3.13526]
[-0.0740337, 3.10685]
[-0.150746, 3.07668]
[-0.226003, 3.0448]
[-0.299775, 3.01131]
[-0.372034, 2.97626]
[-0.442759, 2.93974]
[-0.51193, 2.9018]
[-0.57953, 2.86253]
[-0.645546, 2.82198]
[-0.709966, 2.78023]
[-0.772784, 2.73733]
[-0.833992, 2.69335]
[-0.893588, 2.64835]
[-0.951569, 2.60239]
[-1.00794, 2.55552]
[-1.06269, 2.5078]
[-1.11584, 2.45929]
[-1.16739, 2.41003]
[-1.21735, 2.36008]
[-1.26572, 2.30948]
[-1.31251, 2.25828]
[-1.35774, 2.20653]
[-1.40141, 2.15427]
[-1.44354, 2.10154]
[-1.48414, 2.04838]
[-1.52323, 1.99483]
[-1.56082, 1.94092]
[-1.59693, 1.8867]
[-1.63157, 1.83219]
[-1.66475, 1.77743]
[-1.6965, 1.72246]
[-1.72683, 1.66728]
[-1.75575, 1.61195]
[-1.78329, 1.55648]
[-1.80946, 1.50091]
[-1.83428, 1.44525]
[-1.85776, 1.38953]
[-1.87993, 1.33377]
[-1.90079, 1.278]
[-1.92037, 1.22223]
[-1.93868, 1.16648]
[-1.95574, 1.11078]
[-1.97156, 1.05515]
[-1.98617, 0.999586]
[-1.99957, 0.944122]
[-2.01178, 0.888768]
[-2.02283, 0.83354]
[-2.03271, 0.778452]
[-2.04146, 0.723517]
[-2.04907, 0.668749]
[-2.05558, 0.61416]
[-2.06098, 0.559761]
[-2.0653, 0.505565]
[-2.06855, 0.451581]
[-2.07073, 0.397821]
[-2.07187, 0.344294]
[-2.07197, 0.29101]
[-2.07105, 0.237978]
[-2.06911, 0.185208]
[-2.06618, 0.132707]
[-2.06225, 0.0804835]
[-2.05734, 0.0285464]
[-2.05146, -0.0230969]
[-2.04463, -0.0744389]
[-2.03683, -0.125472]
[-2.0281, -0.176189]
[-2.01843, -0.226584]
[-2.00784, -0.276648]
[-1.99632, -0.326375]
[-1.9839, -0.37576]
[-1.97057, -0.424794]
[-1.95634, -0.473471]
[-1.94122, -0.521785]
[-1.92522, -0.569729]
[-1.90833, -0.617297]
[-1.89058, -0.664481]
[-1.87195, -0.711277]
[-1.85246, -0.757676]
[-1.83211, -0.803671]
[-1.81091, -0.849258]
[-3.57771, -1.78885]
[-3.53162, -1.8782]
[-3.48331, -1.96635]
[-3.4328, -2.05327]
[-3.38011, -2.13889]
[-3.32529, -2.22315]
[-3.26838, -2.30602]
[-3.20939, -2.38742]
[-3.14838, -2.46732]
[-3.08539, -2.54566]
[-3.02044, -2.62239]
[-2.95358, -2.69747]
[-2.88486, -2.77084]
[-2.81432, -2.84246]
[-2.742, -2.91229]
[-2.66795, -2.98028]
[-2.59221, -3.04638]
[-2.51484, -3.11056]
[-2.43587, -3.17278]
[-2.35537, -3.23299]
[-2.27338, -3.29116]
[-2.18996, -3.34725]
[-2.10515, -3.40123]
[-2.01901, -3.45306]
[-1.9316, -3.5027]
[-1.84296, -3.55014]
[-1.75317, -3.59533]
[-1.66226, -3.63825]
[-1.57031, -3.67888]
[-1.47736, -3.71718]
[-1.38348, -3.75313]
[-1.28873, -3.78671]
[-1.19316, -3.8179]
[-1.09684, -3.84668]
[-0.999827, -3.87303]
[-0.902181, -3.89693]
[-0.803966, -3.91837]
[-0.705243, -3.93734]
[-0.606075, -3.95382]
[-0.506524, -3.9678]
[-0.406653, -3.97928]
[-0.306525, -3.98824]
[-0.206203, -3.99468]
[-0.105751, -3.9986]
[-0.00523241, -4]
[0.0952895, -3.99886]
[0.195751, -3.99521]
[0.296089, -3.98903]
[0.396241, -3.98033]
[0.496141, -3.96911]
[0.595729, -3.95539]
[0.69494, -3.93917]
[0.793712, -3.92046]
[0.891983, -3.89928]
[0.989691, -3.87563]
[1.08677, -3.84954]
[1.18317, -3.82101]
[1.27882, -3.79007]
[1.37366, -3.75674]
[1.46763, -3.72103]
[1.56068, -3.68297]
[1.65274, -3.64259]
[1.74376, -3.59991]
[1.83367, -3.55495]
[1.92243, -3.50774]
[2.00997, -3.45833]
[2.09624, -3.40672]
[2.18119, -3.35297]
[2.26476, -3.2971]
[2.34691, -3.23914]
[2.42756, -3.17914]
[2.50669, -3.11713]
[2.58423, -3.05315]
[2.66014, -2.98725]
[2.73437, -2.91945]
[2.80687, -2.84982]
[2.8776, -2.77838]
[2.94652, -2.70519]
[3.01357, -2.63029]
[3.07872, -2.55373]
[3.14192, -2.47555]
[3.20314, -2.39581]
[3.26233, -2.31456]
[3.31947, -2.23185]
[3.37451, -2.14772]
[3.42741, -2.06224]
[3.47815, -1.97546]
[3.5267, -1.88743]
[3.57302, -1.79821]
[3.61708, -1.70785]
[3.65885, -1.61641]
[3.69832, -1.52396]
[3.73545, -1.43054]
[3.77022, -1.33621]
[3.80261, -1.24104]
[3.83259, -1.14509]
[3.86016, -1.04842]
[3.88529, -0.951079]
[3.90796, -0.853141]
[3.92817, -0.754664]
[3.94589, -0.655711]
[3.96112, -0.556343]
[3.97385, -0.456624]
[3.98407, -0.356617]
[3.99177, -0.256384]
[3.99696, -0.155989]
[3.99962, -0.0554961]
[3.99975, 0.0450321]
[3.99735, 0.145532]
[3.99243, 0.24594]
[3.98499, 0.346192]
[3.97503, 0.446226]
[3.96256, 0.545978]
[3.94759, 0.645385]
[3.93013, 0.744385]
[3.91018, 0.842914]
[3.88776, 0.940911]
[3.86289, 1.03831]
[3.83558, 1.13506]
[3.80584, 1.23109]
[3.7737, 1.32634]
[3.73918, 1.42076]
[3.70229, 1.51427]
[3.66307, 1.60684]
[3.62153, 1.69838]
[3.57771, 1.78885]
[3.53162, 1.8782]
[3.48331, 1.96635]
[3.4328, 2.05327]
[3.38011, 2.13889]
[3.32529, 2.22315]
[3.26838, 2.30602]
[3.20939, 2.38742]
[3.14838, 2.46732]
[3.08539, 2.54566]
[3.02044, 2.62239]
[2.95358, 2.69747]
[2.88486, 2.77084]
[2.81432, 2.84246]
[2.742, 2.91229]
[2.66795, 2.98028]
[2.59221, 3.04638]
[2.51484, 3.11056]
[2.43587, 3.17278]
[2.35537, 3.23299]
[2.27338, 3.29116]
[2.18996, 3.34725]
[2.10515, 3.40123]
[2.01901, 3.45306]
[1.9316, 3.5027]
[1.84296, 3.55014]
[1.75317, 3.59533]
[1.66226, 3.63825]
[1.57031, 3.67888]
[1.47736, 3.71718]
[1.38348, 3.75313]
[1.28873, 3.78671]
[1.19316, 3.8179]
[1.09684, 3.84668]
[0.999827, 3.87303]
[0.902181, 3.89693]
[0.803966, 3.91837]
[0.705243, 3.93734]
[0.606075, 3.95382]
[0.506524, 3.9678]
[0.406653, 3.97928]
[0.306525, 3.98824]
[0.206203, 3.99468]
[0.105751, 3.9986]
[0.00523241, 4]
[-0.0952895, 3.99886]
[-0.195751, 3.99521]
[-0.296089, 3.98903]
[-0.396241, 3.98033]
[-0.496141, 3.96911]
[-0.595729, 3.95539]
[-0.69494, 3.93917]
[-0.793712, 3.92046]
[-0.891983, 3.89928]
[-0.989691, 3.87563]
[-1.08677, 3.84954]
[-1.18317, 3.82101]
[-1.27882, 3.79007]
[-1.37366, 3.75674]
[-1.46763, 3.72103]
[-1.56068, 3.68297]
[-1.65274, 3.64259]
[-1.74376, 3.59991]
[-1.83367, 3.55495]
[-1.92243, 3.50774]
[-2.00997, 3.45833]
[-2.09624, 3.40672]
[-2.18119, 3.35297]
[-2.26476, 3.2971]
[-2.34691, 3.23914]
[-2.42756, 3.17914]
[-2.50669, 3.11713]
[-2.58423, 3.05315]
[-2.66014, 2.98725]
[-2.73437, 2.91945]
[-2.80687, 2.84982]
[-2.8776, 2.77838]
[-2.94652, 2.70519]
[-3.01357, 2.63029]
[-3.07872, 2.55373]
[-3.14192, 2.47555]
[-3.20314, 2.39581]
[-3.26233, 2.31456]
[-3.31947, 2.23185]
[-3.37451, 2.14772]
[-3.42741, 2.06224]
[-3.47815, 1.97546]
[-3.5267, 1.88743]
[-3.57302, 1.79821]
[-3.61708, 1.70785]
[-3.65885, 1.61641]
[-3.69832, 1.52396]
[-3.73545, 1.43054]
[-3.77022, 1.33621]
[-3.80261, 1.24104]
[-3.83259, 1.14509]
[-3.86016, 1.04842]
[-3.88529, 0.951079]
[-3.90796, 0.853141]
[-3.92817, 0.754664]
[-3.94589, 0.655711]
[-3.96112, 0.556343]
[-3.97385, 0.456624]
[-3.98407, 0.356617]
[-3.99177, 0.256384]
[-3.99696, 0.155989]
[-3.99962, 0.0554961]
[-3.99975, -0.0450321]
[-3.99735, -0.145532]
[-3.99243, -0.24594]
[-3.98499, -0.346192]
[-3.97503, -0.446226]
[-3.96256, -0.545978]
[-3.94759, -0.645385]
[-3.93013, -0.744385]
[-3.91018, -0.842914]
[-3.88776, -0.940911]
[-3.86289, -1.03831]
[-3.83558, -1.13506]
[-3.80584, -1.23109]
[-3.7737, -1.32634]
[-3.73918, -1.42076]
[-3.70229, -1.51427]
[-3.66307, -1.60684]
[-3.62153, -1.69838]
